bin	con	wei
1	CG	0.09696546318856383
1	CHG	0.020785479077985704
1	CHH	0.008373097023403771
2	CG	0.10524457604919993
2	CHG	0.02219741996304945
2	CHH	0.00848683886559317
3	CG	0.10265826410770552
3	CHG	0.021982315902290894
3	CHH	0.008954625379816183
4	CG	0.09704829803982871
4	CHG	0.02307089322874077
4	CHH	0.009134922980794774
5	CG	0.08837411011985222
5	CHG	0.021496582427938515
5	CHH	0.008728700724592883
6	CG	0.08949750441781751
6	CHG	0.02094101613787831
6	CHH	0.00859030312139703
7	CG	0.08880832960884608
7	CHG	0.020698584223564888
7	CHH	0.008873330051296239
8	CG	0.08183466785704321
8	CHG	0.021245392649428717
8	CHH	0.008848997481272275
9	CG	0.08130119822267147
9	CHG	0.021318374618723764
9	CHH	0.008855390431178743
10	CG	0.07241561943280851
10	CHG	0.02070669772197921
10	CHH	0.00860625078020248
11	CG	0.06915220539899203
11	CHG	0.020144150803917946
11	CHH	0.008660291421162803
12	CG	0.07421643997634536
12	CHG	0.01960182723119929
12	CHH	0.009255185033856812
13	CG	0.07031811318790024
13	CHG	0.020149348329626515
13	CHH	0.009530684409850816
14	CG	0.06107582309741289
14	CHG	0.020974277608366117
14	CHH	0.009192370987938249
15	CG	0.05117803173915399
15	CHG	0.018560397929379104
15	CHH	0.008288172307927203
16	CG	0.04354775786211231
16	CHG	0.01583713099246814
16	CHH	0.008127963592298558
17	CG	0.03171819358150378
17	CHG	0.014275380945833657
17	CHH	0.007247073129397295
18	CG	0.025793111233112877
18	CHG	0.01243000579262406
18	CHH	0.006577652091424889
19	CG	0.022336267579469854
19	CHG	0.010269104455663938
19	CHH	0.005846718424401129
20	CG	0.01935291835205196
20	CHG	0.010234400792340706
20	CHH	0.004736594926519539
21	CG	0.013381421230705239
21	CHG	0.007213524177750505
21	CHH	0.0041811359747937595
22	CG	0.016533992785538378
22	CHG	0.0062869309442861706
22	CHH	0.0038467369315086488
23	CG	0.02798502926251723
23	CHG	0.006003330510111023
23	CHH	0.003780082903791756
24	CG	0.047708662548484417
24	CHG	0.006442711974971461
24	CHH	0.003912795407681598
25	CG	0.07251900481370789
25	CHG	0.006899495117982857
25	CHH	0.0037824585767748777
26	CG	0.10186796784734929
26	CHG	0.006686189021378283
26	CHH	0.003834130833114388
27	CG	0.12346105519600994
27	CHG	0.006484076550952262
27	CHH	0.0036969096186076932
28	CG	0.15230062692514837
28	CHG	0.0062246983181130965
28	CHH	0.003928223017620911
29	CG	0.16664550516115612
29	CHG	0.006564200505162793
29	CHH	0.003754112639540541
30	CG	0.18818761969040995
30	CHG	0.0062936742712177965
30	CHH	0.003724939910646016
31	CG	0.19780779945057217
31	CHG	0.006836676543291316
31	CHH	0.003962651252401788
32	CG	0.21431959053987001
32	CHG	0.006404049295774648
32	CHH	0.003797652906013966
33	CG	0.21704159859243433
33	CHG	0.006606818547128085
33	CHH	0.003966879454014095
34	CG	0.21838834176560865
34	CHG	0.006725746578145102
34	CHH	0.003692411594720479
35	CG	0.20843986688548993
35	CHG	0.006821935514756924
35	CHH	0.0038999869610765654
36	CG	0.19903041150585407
36	CHG	0.006175698625907056
36	CHH	0.003785293876369904
37	CG	0.17334546725896677
37	CHG	0.006021993205861653
37	CHH	0.003662396162266455
38	CG	0.13061385705733158
38	CHG	0.006566533747969645
38	CHH	0.0037452586962108745
39	CG	0.07964123262220514
39	CHG	0.006142677378762946
39	CHH	0.003927579423471861
40	CG	0.04144747712167485
40	CHG	0.007917547704726082
40	CHH	0.004260965023100387
41	CG	0.042801581269997384
41	CHG	0.010608861319331829
41	CHH	0.005114977818500393
42	CG	0.046864272354932644
42	CHG	0.010328809646113992
42	CHH	0.005688126705659764
43	CG	0.05268265320431917
43	CHG	0.011149833176853752
43	CHH	0.006270244830187089
44	CG	0.05928621114024293
44	CHG	0.01176607089176375
44	CHH	0.006442351021745829
45	CG	0.06255337093458437
45	CHG	0.012229024801649278
45	CHH	0.0070387544043217206
46	CG	0.07504458120128478
46	CHG	0.014135512241140579
46	CHH	0.007392447016480884
47	CG	0.0751919415911801
47	CHG	0.013869661476561568
47	CHH	0.007391653043256622
48	CG	0.07938156471835284
48	CHG	0.014834410823954208
48	CHH	0.007449488637596243
49	CG	0.08190918292185323
49	CHG	0.013369809129759333
49	CHH	0.0069474857474514816
50	CG	0.08831617694266698
50	CHG	0.01381526774907133
50	CHH	0.007350691499455863
51	CG	0.0907295558152165
51	CHG	0.014934995737425405
51	CHH	0.007118804334192067
52	CG	0.09100786769786257
52	CHG	0.014299831424751497
52	CHH	0.006973317832754975
53	CG	0.09579856809236133
53	CHG	0.014903083450032814
53	CHH	0.007256275125083852
54	CG	0.09198373956083207
54	CHG	0.014735227196160444
54	CHH	0.0074023160224797315
55	CG	0.09763789406451025
55	CHG	0.014946585622957956
55	CHH	0.007311583308047522
56	CG	0.10144484748832068
56	CHG	0.014927772189441154
56	CHH	0.007203001754664882
57	CG	0.09458044544595809
57	CHG	0.014443899435393816
57	CHH	0.007029035019516371
58	CG	0.10080768896737399
58	CHG	0.013011266539095198
58	CHH	0.006822698384589655
59	CG	0.09983763905383154
59	CHG	0.01446236922740775
59	CHH	0.006777049759188371
60	CG	0.10593899549319333
60	CHG	0.015830944081186443
60	CHH	0.00704817968117259
